domain,logo,label,error
ask.com,https://www.ask.com/wp-content/uploads/sites/3/2021/10/ask-favicon.png,JSONLD_LOGO_FOUND,
shopify.com,https://cdn.shopify.com/shopifycloud/brochure/assets/brand-assets/shopify-logo-primary-logo-456baa801ee66a0a435671082365958316831c9960c480451dd0330bcdae304f.svg,JSONLD_LOGO_FOUND,
twitter.com,,FAILURE,"0, message='', url=URL('https://twitter.com')"
surveymonkey.com,https://prod.smassets.net/assets/static/images/surveymonkey/surveymonkey-seo-logo.png,JSONLD_LOGO_FOUND,
bing.com,https://bing.com/sa/simg/favicon-trans-bg-blue-mg-png.png,FAVICON_FOUND,
comcast.com,,FAILURE,"Cannot connect to host comcast.com:443 ssl:False [Connect call failed ('96.99.227.0', 443)]"
facebook.com,https://static.xx.fbcdn.net/rsrc.php/y1/r/4lCu2zih0ca.svg,JSONLD_LOGO_FOUND,
aol.com,https://s.aolcdn.com/images/dims,JSONLD_LOGO_FOUND,
lg.com,https://lg.com/content/dam/lge/common/logo/logo-lg-100-44.svg,JSONLD_LOGO_FOUND,
conduit.com,,FAILURE,"Cannot connect to host conduit.com:443 ssl:False [nodename nor servname provided, or not known]"
go.com,https://lumiere-a.akamaihd.net/v1/images/nav_logo_2x-25d10ad375dd_13be4150.png,JSONLD_LOGO_FOUND,
att.com,https://www.att.com/ecms/dam/att/consumer/global/logos/att_globe_500x500.jpg,JSONLD_LOGO_FOUND,
mediaplex.com,,FAILURE,"Cannot connect to host mediaplex.com:443 ssl:False [Connect call failed ('159.127.40.163', 443)]"
wix.com,"https://static.wixstatic.com/media/9ab0d1_2ff5ca18550e405ea1844e52afaff120~mv2.jpg/v1/fill/w_333,h_154,al_c,lg_1,q_80,enc_auto/Wix%20logo%20white%20BG.jpg",JSONLD_LOGO_FOUND,
about.com,https://images.prismic.io/ddhomepage/a7bff2a7-62ef-435f-b0d3-2a4b48c4326b_dotdash-meredith-logo.jpg,JSONLD_LOGO_FOUND,
